timestamp,open,high,low,close,volume
2021-08-20 00:00:00+00:00,46761.49,49377.5,46652.0,49336.45,1742574002.38
2021-08-21 00:00:00+00:00,49336.45,49809.82,48330.03,48867.87,1125508731.91
2021-08-22 00:00:00+00:00,48867.87,49512.19,48119.98,49289.71,822323898.98
2021-08-23 00:00:00+00:00,49289.71,50513.83,49048.25,49521.06,1515250474.77
2021-08-24 00:00:00+00:00,49521.06,49859.97,47580.66,47690.54,1399185980.56
2021-08-25 00:00:00+00:00,47690.54,49257.74,47135.07,48996.44,1208134772.96
2021-08-26 00:00:00+00:00,48996.44,49358.2,46456.68,46852.22,1618461768.41
2021-08-27 00:00:00+00:00,46852.22,49166.31,46376.81,49088.1,1331637984.84
2021-08-28 00:00:00+00:00,49088.1,49306.47,48386.9,48918.9,626553869.3
2021-08-29 00:00:00+00:00,48918.9,49653.49,47841.49,48794.26,924625515.76
2021-08-30 00:00:00+00:00,48794.26,48878.11,46872.47,46993.31,1392617744.31
2021-08-31 00:00:00+00:00,46993.31,48252.74,46713.72,47159.26,1418199668.83
2021-09-01 00:00:00+00:00,47159.26,49062.05,46544.74,48840.01,1520961266.36
2021-09-02 00:00:00+00:00,48840.01,50374.89,48632.7,49280.77,1615790894.94
2021-09-03 00:00:00+00:00,49280.77,51056.15,48362.56,50019.51,1926045807.12
2021-09-04 00:00:00+00:00,50019.51,50549.35,49501.12,49935.29,839888927.54
2021-09-05 00:00:00+00:00,49935.29,51890.18,49499.28,51784.16,1084416553.08
2021-09-06 00:00:00+00:00,51784.16,52766.16,51035.68,52693.32,1328373298.0
2021-09-07 00:00:00+00:00,52693.32,52919.24,43904.42,46856.31,4055873734.71
2021-09-08 00:00:00+00:00,46856.31,47362.35,44475.76,46073.45,2105187289.07
2021-09-09 00:00:00+00:00,46073.45,47335.29,45572.3,46392.85,1499767099.51
2021-09-10 00:00:00+00:00,46392.85,47026.67,44198.27,44853.1,1631276774.64
2021-09-11 00:00:00+00:00,44853.1,45987.63,44741.98,45166.12,662298068.85
2021-09-12 00:00:00+00:00,45166.12,46403.5,44765.82,46049.72,747181260.09
2021-09-13 00:00:00+00:00,46049.72,46821.84,43511.3,44958.56,1909473369.72
2021-09-14 00:00:00+00:00,44958.56,47263.56,44776.37,47129.01,1237183544.6
2021-09-15 00:00:00+00:00,47129.01,48457.3,46725.15,48148.45,1282942628.56
2021-09-16 00:00:00+00:00,48148.45,48498.51,47050.55,47764.47,1229076140.65
2021-09-17 00:00:00+00:00,47764.47,48172.36,46770.31,47297.98,899242093.44
2021-09-18 00:00:00+00:00,47297.98,48808.0,47066.47,48312.46,761079785.11
2021-09-19 00:00:00+00:00,48312.46,48376.3,46864.5,47251.76,668723282.36
2021-09-20 00:00:00+00:00,47251.76,47340.49,42552.63,42925.46,2849781014.82
2021-09-21 00:00:00+00:00,42925.46,43625.93,39767.17,40709.59,2972565920.07
2021-09-22 00:00:00+00:00,40709.59,44012.22,40589.07,43576.15,1807576533.35
2021-09-23 00:00:00+00:00,43576.15,44994.17,43108.42,44893.87,1522818255.74
2021-09-24 00:00:00+00:00,44893.87,45143.18,40807.2,42848.41,2565373998.35
2021-09-25 00:00:00+00:00,42848.41,42992.94,41710.08,42721.91,767641976.96
