date,open,high,low,close,volume,macd,signal,hist
2022-05-20,30319.22,30777.33,28730.0,29201.01,60517.25325,-2657.030414670924,-2695.6754044080108,38.64498973708669
2022-05-21,29201.01,29656.18,28947.28,29445.06,20987.13124,-2568.823876072678,-2670.3050987409447,101.48122266826658
2022-05-22,29445.07,30487.99,29255.11,30293.94,36158.98748,-2402.724919893735,-2616.789062971503,214.06414307776777
2022-05-23,30293.93,30670.51,28866.35,29109.15,63901.49932,-2339.722091891501,-2561.375668755503,221.65357686400193
2022-05-24,29109.14,29845.86,28669.0,29654.58,59442.96036,-2220.1873167684826,-2493.137998358099,272.9506815896166
2022-05-25,29654.58,30223.74,29294.21,29542.15,59537.38659,-2110.2022101419716,-2416.5508407148736,306.34863057290204
2022-05-26,29542.14,29886.64,28019.56,29201.35,94581.65463,-2027.1699789087615,-2338.674668353651,311.50468944488966
2022-05-27,29201.35,29397.66,28282.9,28629.8,90998.5201,-1984.6083165020173,-2267.8613979833244,283.25308148130716
2022-05-28,28629.81,29266.0,28450.0,29031.33,34479.35127,-1896.6147825194967,-2193.6120748905587,296.99729237106203
2022-05-29,29031.33,29587.78,28839.21,29468.1,27567.34764,-1771.2180845842522,-2109.1332768292978,337.91519224504555
2022-05-30,29468.1,32222.0,29299.62,31734.22,96785.9476,-1472.014881534309,-1981.7095977703,509.6947162359909
2022-05-31,31734.23,32399.0,31200.01,31801.04,62433.11632,-1215.4909488708581,-1828.4658679904119,612.9749191195538
2022-06-01,31801.05,31982.97,29301.0,29805.83,103395.63382,-1159.8209623240436,-1694.7368868571384,534.9159245330948
2022-06-02,29805.84,30689.0,29594.55,30452.62,56961.42928,-1051.3917596184328,-1566.0678614093974,514.6761017909646
2022-06-03,30452.63,30699.0,29282.36,29700.21,54067.44727,-1014.4797431440238,-1455.7502377563228,441.270494612299
2022-06-04,29700.21,29988.88,29485.0,29864.04,25617.90113,-960.9299895741096,-1356.78618811988,395.85619854577044
2022-06-05,29864.03,30189.0,29531.42,29919.21,23139.9281,-903.6232596880109,-1266.1536024335062,362.5303427454953
2022-06-06,29919.2,31765.64,29890.23,31373.1,68836.92456,-732.4472945671332,-1159.4123408602316,426.96504629309834
2022-06-07,31373.1,31589.6,29218.96,31125.33,110674.51658,-609.7532216710897,-1049.480517022403,439.7272953513134
2022-06-08,31125.32,31327.22,29843.88,30204.77,68542.61276,-580.1116178730954,-955.6067371925417,375.4951193194463
2022-06-09,30204.77,30700.0,29944.1,30109.93,46291.1865,-557.8427645513257,-876.0539426642985,318.2111781129728
2022-06-10,30109.93,30382.8,28850.0,29091.88,76204.2498,-615.250440557902,-823.8932422430192,208.6428016851172
2022-06-11,29091.87,29440.41,28099.99,28424.7,65901.39895,-706.4388996450143,-800.4023737234183,93.96347407840403
2022-06-12,28424.71,28544.96,26560.0,26574.53,92474.598809,-917.4241721532089,-823.8067334093764,-93.61743874383251
2022-06-13,26574.53,26895.84,21925.77,22487.41,254611.034966,-1398.309110190643,-938.7072087656297,-459.60190142501324
2022-06-14,22485.27,23362.88,20846.0,22136.41,187201.64671,-1787.13566722635,-1108.392900457774,-678.7427667685761
2022-06-15,22136.42,22800.0,20111.62,22583.72,200774.493467,-2035.7227912033122,-1293.8588786068817,-741.8639125964305
2022-06-16,22583.72,22995.73,20232.0,20401.31,99673.59429,-2381.381047410865,-1511.3633123676784,-870.0177350431866
2022-06-17,20400.6,21365.43,20246.66,20468.81,86694.33663,-2619.673059568795,-1733.0252618079019,-886.6477977608931
2022-06-18,20468.81,20792.06,17622.0,18970.79,196441.655524,-2896.0154273897533,-1965.6232949242724,-930.3921324654809
2022-06-19,18970.79,20815.95,17960.41,20574.0,128320.87595,-2951.6285597008755,-2162.824347879593,-788.8042118212825
2022-06-20,20574.0,21090.0,19637.03,20573.89,109028.94154,-2961.5720843355084,-2322.5738951707763,-638.9981891647321
2022-06-21,20573.9,21723.0,20348.4,20723.52,104371.0749,-2923.6761895696436,-2442.79435405055,-480.8818355190938
2022-06-22,20723.51,20900.0,19770.51,19987.99,92133.97938,-2919.342184387613,-2538.1039201179624,-381.2382642696507
2022-06-23,19988.0,21233.0,19890.07,21110.13,83127.08716,-2793.162297884457,-2589.1155956712614,-204.04670221319566
2022-06-24,21110.12,21558.41,20736.72,21237.69,77430.36622,-2652.2967765741814,-2601.751831851846,-50.54494472233546
2022-06-25,21237.68,21614.5,20906.62,21491.19,51431.67794,-2491.484225387223,-2579.6983105589215,88.21408517169857
2022-06-26,21491.18,21888.0,20964.73,21038.07,53278.10464,-2373.2448280141107,-2538.407614049959,165.1627860358485
2022-06-27,21038.08,21539.85,20510.0,20742.56,64475.0013,-2277.1350457073822,-2486.153100381444,209.01805467406166
2022-06-28,20742.57,21212.1,20202.01,20281.29,63801.0832,-2212.68156902026,-2431.4587941092072,218.77722508894703
2022-06-29,20281.28,20432.31,19854.92,20123.01,77309.04379,-2149.5944112851066,-2375.0859175443875,225.49150625928087
2022-06-30,20123.0,20179.08,18626.0,19942.21,93846.64806,-2090.0931405662777,-2318.0873621487654,227.99422158248763
2022-07-01,19942.21,20918.35,18975.0,19279.8,111844.59494,-2072.4984339852454,-2268.9695765160614,196.471142530816
2022-07-02,19279.8,19467.39,18977.01,19252.81,46180.3021,-2037.248240122779,-2222.625309237405,185.377069114626
2022-07-03,19252.82,19647.63,18781.0,19315.83,51087.46631,-1981.3868262405267,-2174.3776126380294,192.9907863975027
2022-07-04,19315.83,20354.01,19055.31,20236.71,74814.04601,-1841.5803415608098,-2107.8181584225854,266.2378168617756
2022-07-05,20236.71,20750.0,19304.4,20175.83,96041.13756,-1715.9152000987997,-2029.4375667578283,313.52236665902865
2022-07-06,20175.84,20675.22,19761.25,20564.51,82439.5808,-1566.8992037955322,-1936.9298941653692,370.030690369837
2022-07-07,20564.51,21838.1,20251.68,21624.98,85014.58261,-1347.696480722654,-1819.0832114768264,471.3867307541723
2022-07-08,21624.99,22527.37,21189.26,21594.75,403081.57349,-1163.009601041933,-1687.8684893898478,524.8588883479149
2022-07-09,21594.75,21980.0,21322.12,21591.83,178417.84468,-1005.2911670921749,-1551.3530249303135,546.0618578381386
2022-07-10,21592.15,21607.65,20655.0,20862.47,192188.21556,-928.4488479908832,-1426.7721895424274,498.3233415515442
2022-07-11,20861.11,20868.48,19875.23,19963.61,137535.40724,-929.3680698005192,-1327.291365594046,397.9232957935269
2022-07-12,19963.61,20059.42,19240.0,19328.75,139506.45862,-970.1412712775782,-1255.8613467307528,285.72007545317456
2022-07-13,19331.28,20366.61,18910.94,20234.87,209250.24888,-918.7472693433338,-1188.438531253269,269.6912619099353
2022-07-14,20234.87,20900.0,19616.07,20588.84,174809.21696,-839.7743359835367,-1118.7056921993226,278.93135621578585
2022-07-15,20588.84,21200.0,20382.29,20830.04,143343.3049,-749.0898516021116,-1044.7825240798804,295.69267247776884
2022-07-16,20830.04,21588.94,20478.61,21195.6,121011.67393,-640.3426361853017,-963.8945465009648,323.5519103156631
2022-07-17,21195.6,21684.54,20750.01,20798.16,118229.4525,-579.5490897911077,-887.0254551589934,307.4763653678857
2022-07-18,20799.58,22777.63,20762.45,22432.58,239942.73132,-394.93318774674844,-788.6070016765444,393.673813929796
2022-07-19,22432.58,23800.0,21579.54,23396.62,263770.76574,-168.88696035875546,-664.6629934129867,495.7760330542312
2022-07-20,23398.48,24276.74,22906.19,23223.3,238762.17094,-3.6866743954160484,-532.4677296094725,528.7810552140564
2022-07-21,23223.3,23442.77,22341.46,23152.19,184817.68191,120.11316987096507,-401.951549713385,522.0647195843501
2022-07-22,23152.19,23756.49,22500.0,22684.83,171598.43966,178.4562595968091,-285.8699878513462,464.3262474481553
2022-07-23,22684.83,23000.77,21934.57,22451.07,122137.77375,203.4854465945864,-187.9989009621597,391.4843475567461
2022-07-24,22448.58,23014.64,22257.15,22579.68,115189.67277,231.03577319860415,-104.19196613000693,335.22773932861105
2022-07-25,22577.13,22666.0,21250.0,21310.9,180344.76643,148.77468124222287,-53.598636655560966,202.37331789778383
2022-07-26,21310.9,21347.82,20706.5,21254.67,177817.24326,78.14408576366623,-27.25009217171553,105.39417793538175
2022-07-27,21254.67,23112.63,21042.53,22952.45,210971.19796,157.35163533729065,9.670253330085703,147.68138200720495
2022-07-28,22954.31,24199.72,22582.13,23842.93,236029.0741,288.65109286264124,65.46642123659682,223.1846716260444
2022-07-29,23845.25,24442.66,23414.03,23773.75,198298.50623,382.71293459489243,128.91572390825593,253.7972106866365
2022-07-30,23777.28,24668.0,23502.25,23643.51,151060.13211,441.6571931076869,191.46401774814214,250.19317535954477
2022-07-31,23644.64,24194.82,23227.31,23293.32,127743.32483,454.8700772062293,244.14522963975958,210.72484756646975
2022-08-01,23296.36,23509.68,22850.0,23268.01,144210.16219,458.0193160047238,286.92004691275247,171.09926909197134
2022-08-02,23266.9,23459.89,22654.37,22987.79,158073.28225,432.91334280121373,316.11870609044473,116.794636710769
2022-08-03,22985.93,23647.68,22681.22,22818.37,145948.80995,394.7949496326364,331.8539547988831,62.94099483375334
2022-08-04,22816.91,23223.32,22400.0,22622.98,154854.67016,344.8443572682845,334.45203529276336,10.392321975521156
2022-08-05,22622.41,23472.86,22586.95,23312.42,175251.69749,356.7774902333258,338.91712628087583,17.860363952449973
2022-08-06,23313.56,23354.36,22909.52,22954.21,83911.80307,333.48581389273386,337.83086380324744,-4.3450499105135805
2022-08-07,22954.21,23402.0,22844.62,23174.39,88890.00877,329.0011579120146,336.0649226250009,-7.063764712986313
2022-08-08,23174.39,24245.0,23154.25,23810.0,170958.44152,372.44216923296335,343.3403719465934,29.10179728636996
2022-08-09,23810.98,23933.25,22865.0,23149.95,143182.50858,349.57923315413063,344.58814418810084,4.991088966029793
2022-08-10,23151.32,24226.0,22664.69,23954.05,208916.54953,391.8275968171074,354.03603471390215,37.79156210320525
2022-08-11,23954.05,24918.54,23852.13,23934.39,249759.79557,418.8945757916081,367.0077429294434,51.88683286216468
2022-08-12,23933.09,24456.5,23583.0,24403.68,174207.5704,472.7634103067685,388.1588764049084,84.60453390186007
2022-08-13,24401.7,24888.0,24291.22,24441.38,152852.25435,512.5881278293964,413.044726689806,99.5434011395904
2022-08-14,24443.06,25047.56,24144.0,24305.24,151206.14473,527.0881985057677,435.8534210529983,91.23477745276932
2022-08-15,24305.25,25211.32,23773.22,24094.82,242539.54758,515.6563085968737,451.8139985617735,63.84231003510024
2022-08-16,24093.04,24247.49,23671.22,23854.74,179324.94821,481.67159361301674,457.7855175720222,23.886076040994567
2022-08-17,23856.15,24446.71,23180.4,23342.66,210668.68766,408.706570835202,447.9697282246582,-39.26315738945618
2022-08-18,23342.66,23600.0,23111.04,23191.2,144185.97011,334.8003385068878,425.3358502811041,-90.53551177421633
2022-08-19,23191.45,23208.67,20783.57,20834.39,283995.87747,85.07357142906767,357.28339451069684,-272.20982308162917
2022-08-20,20834.39,21382.85,20761.9,21140.07,183041.68363,-87.16607310688414,268.3935009871807,-355.5595740940648
2022-08-21,21140.07,21800.0,21069.11,21515.61,159200.6841,-191.16071115519662,176.48265855870525,-367.64336971390185
2022-08-22,21516.7,21548.71,20890.18,21399.83,222222.04526,-279.6955334305967,85.24702016084487,-364.94255359144154
2022-08-23,21400.75,21684.87,20890.14,21529.12,200967.77164,-335.5592769975847,1.085760729158963,-336.6450377267436
2022-08-24,21529.11,21900.0,21145.0,21368.08,174383.22046,-388.34962563840963,-76.80131654435476,-311.54830909405484
2022-08-25,21368.05,21819.88,21310.15,21559.04,169915.78301,-410.0506722870523,-143.45118769289428,-266.599484594158
2022-08-26,21559.04,21886.77,20107.9,20241.05,273811.61955,-527.5187780968226,-220.26470577367996,-307.2540723231427
2022-08-27,20239.14,20402.93,19800.0,20037.6,162582.46032,-629.7702139523753,-302.1658074094191,-327.60440654295627
2022-08-28,20037.6,20171.18,19520.0,19555.61,139307.95976,-741.1542139651065,-389.9634887205566,-351.19072524454987
2022-08-29,19555.61,20433.62,19550.79,20285.73,210509.49545,-761.7314878900106,-464.3170885544474,-297.4143993355632
2022-08-30,20287.2,20576.25,19540.0,19811.66,256634.35529,-806.990132840976,-532.8516974117532,-274.1384354292228
2022-08-31,19813.03,20490.0,19797.94,20050.02,276946.60765,-814.2382434681858,-589.1290066230398,-225.10923684514603
2022-09-01,20048.44,20208.37,19565.66,20131.46,245289.97263,-804.1412561422876,-632.1314565268895,-172.00979961539815
2022-09-02,20132.64,20441.26,19755.29,19951.86,245986.6033,-801.3935736944477,-665.9838799604012,-135.40969373404653
2022-09-03,19950.98,20055.93,19652.72,19831.9,146639.03204,-799.6775994268319,-692.7226238536873,-106.95497557314457
2022-09-04,19832.45,20029.23,19583.1,20000.3,145588.77893,-775.7864218732684,-709.3353834576036,-66.45103841566481
